Assigned_Officer,Count,Avg_Lifetime_Giving,Total_Lifetime_Giving
Amanda Davis,150,299414.9362666666,44912240.44
Christopher Lee,150,285887.9176,42883187.64
David Park,150,359928.7656,53989314.839999996
Emily Zhang,150,292219.22819999995,43832884.23
James Wilson,150,303971.07646666665,45595661.47
Jennifer Liu,150,282675.5308,42401329.62
Kevin Wu,150,295193.6826,44279052.39
Lisa Thompson,150,393486.25006666663,59022937.51
Maria Gonzalez,150,321650.8453333333,48247626.8
Mark Williams,150,289275.6594,43391348.91
Michael Rodriguez,150,381747.3122,57262096.83
Nicole Brown,150,453474.5748666667,68021186.23
Rachel Johnson,150,330497.92246666667,49574688.37
Robert Kim,150,340227.8588,51034178.82
Sarah Chen,150,351220.90773333336,52683136.160000004
