Donor_ID,Full_Name,Lifetime_Giving,Rating,Assigned_Officer
618427,Jason Gomez,26158835.71,B,Nicole Brown
510372,Kevin Young,17474109.63,E,Lisa Thompson
820311,Jack Lee,16066091.74,E,Michael Rodriguez
216727,Betty Baker,13246672.87,D,David Park
541547,Paul King,12159977.66,D,Sarah Chen
802083,Alexander Roberts,11025296.05,D,Robert Kim
381103,Sarah Miller,9928004.02,C,Rachel Johnson
937887,Sarah Perez,9093009.06,C,Maria Gonzalez
471650,Larry Garcia,6858744.14,E,James Wilson
886240,Jeffrey Lopez,6609341.08,D,Amanda Davis
316573,Jennifer Gonzalez,6331705.9,E,Kevin Wu
861965,Dennis Smith,6208992.22,E,Emily Zhang
194303,Laura Garcia,6181190.39,C,Mark Williams
300527,Heather Walker,5873644.15,E,Christopher Lee
376638,Larry Walker,5748853.25,E,Jennifer Liu
820993,Patricia Perez,5606188.76,E,Nicole Brown
643648,Christine Gomez,5535452.84,D,Lisa Thompson
434053,Jason Lewis,5408230.26,E,Michael Rodriguez
298196,Julie Anderson,5281813.84,D,David Park
370660,Alexander Garcia,5280692.55,E,Sarah Chen
864389,Christine Smith,5211748.43,C,Robert Kim
332130,Kevin Johnson,5108784.13,E,Rachel Johnson
118228,Jacob Johnson,4923883.84,E,Maria Gonzalez
909306,Angela Martin,4831523.12,E,James Wilson
779100,Samantha Jones,4646207.93,D,Amanda Davis
815350,Elizabeth Lopez,4555850.05,C,Kevin Wu
905908,Justin Walker,4490333.61,C,Emily Zhang
473704,Deborah Thompson,4334527.26,D,Mark Williams
604059,Kevin Martinez,4324699.28,E,Christopher Lee
813485,Donna Martin,4127252.41,C,Jennifer Liu
316387,Angela Baker,3915452.93,D,Nicole Brown
372734,Jonathan Baker,3891789.69,E,Lisa Thompson
227018,Jack Jones,3872014.44,E,Michael Rodriguez
377567,Elizabeth Smith,3854105.48,E,David Park
956172,Olivia Moore,3789108.24,D,Sarah Chen
836073,Joyce Moore,3631738.97,E,Robert Kim
939226,Steven Anderson,3605797.97,E,Rachel Johnson
303663,Donna Martinez,3582863.34,E,Maria Gonzalez
481639,Scott Smith,3556631.93,D,James Wilson
112842,Kelly Sanchez,3500878.73,C,Amanda Davis
927244,Sandra Brown,3402744.5,E,Kevin Wu
255730,Thomas Gonzalez,3307282.02,D,Emily Zhang
662765,Sharon Smith,3207597.68,D,Mark Williams
553929,Jerry Hernandez,3200509.47,C,Christopher Lee
816381,Sarah Gonzalez,3177282.64,C,Jennifer Liu
770712,Janet Williams,3123311.17,E,Nicole Brown
450116,Ashley Lopez,3100587.36,C,Lisa Thompson
561336,Patricia Jones,3085678.74,E,Michael Rodriguez
495516,Steven Hernandez,3045697.4,E,David Park
103601,Timothy Flores,3031596.85,D,Sarah Chen
295539,William Martinez,2972134.82,D,Robert Kim
548676,Andrew Adams,2915714.42,E,Rachel Johnson
764019,Frank Young,2820741.4,E,Maria Gonzalez
698252,Julie Harris,2662484.65,C,James Wilson
972094,Rachel Gomez,2586382.28,A,Amanda Davis
231502,Matthew Miller,2559392.13,E,Kevin Wu
295194,David Taylor,2554949.97,E,Emily Zhang
921735,Angela Williams,2538091.51,E,Mark Williams
507758,Jonathan Lewis,2477971.35,E,Christopher Lee
660795,Rachel Johnson,2448063.51,B,Jennifer Liu
549218,Janet Johnson,2446967.85,B,Nicole Brown
971343,Karen Perez,2416743.55,E,Lisa Thompson
971006,Susan Smith,2372917.93,D,Michael Rodriguez
436674,Sarah King,2256200.52,E,David Park
158312,Andrew Smith,2249321.86,D,Sarah Chen
729743,Steven Moore,2220509.9,E,Robert Kim
485011,Steven Roberts,2213159.76,D,Rachel Johnson
932682,Frank Thomas,2200769.32,D,Maria Gonzalez
953922,Sharon Nguyen,2196355.41,E,James Wilson
261001,Helen Brown,2189450.93,C,Amanda Davis
396230,Cynthia Rodriguez,2173337.84,D,Kevin Wu
343719,Jack Johnson,2131075.23,D,Emily Zhang
197600,Larry Baker,2127126.78,E,Mark Williams
732427,Kevin Taylor,2102953.05,C,Christopher Lee
898090,Dorothy Smith,2101387.09,E,Jennifer Liu
599746,Diane Smith,2099334.71,E,Nicole Brown
487687,Alexander Johnson,2085348.32,B,Lisa Thompson
206927,Kevin Martin,2032430.72,D,Michael Rodriguez
814859,Donna Torres,2025841.86,B,David Park
638283,Jessica Flores,2008967.14,C,Sarah Chen
100971,Matthew Williams,1999038.5,E,Robert Kim
117636,Brenda Robinson,1986396.34,B,Rachel Johnson
945708,Ashley Allen,1948424.32,D,Maria Gonzalez
150895,Jack Brown,1940613.77,D,James Wilson
898118,Kelly Miller,1936940.72,B,Amanda Davis
121439,Karen Jones,1917657.17,E,Kevin Wu
742643,Edward Garcia,1895252.17,B,Emily Zhang
448993,Sarah Wilson,1856728.4,D,Mark Williams
919025,Paul Taylor,1824923.25,D,Christopher Lee
640765,James Gomez,1788541.64,E,Jennifer Liu
690465,Mary Williams,1764034.54,C,Nicole Brown
262225,Raymond Lopez,1700808.82,C,Lisa Thompson
260095,Stephen Thompson,1681996.72,E,Michael Rodriguez
712660,Justin Wright,1616222.35,D,David Park
765666,Jerry Hernandez,1611694.6,E,Sarah Chen
569314,Karen Williams,1545140.61,C,Robert Kim
528824,Robert Jones,1486607.43,E,Rachel Johnson
859339,Jennifer Phillips,1475878.34,E,Maria Gonzalez
565290,Joyce Miller,1468512.27,E,James Wilson
114508,Catherine Lee,1447919.15,E,Amanda Davis
770694,Linda Martinez,1425759.04,C,Kevin Wu
865025,Ruth Lopez,1414486.63,B,Emily Zhang
737595,Richard Martinez,1382901.1,C,Mark Williams
805507,Debra Rodriguez,1381415.9,D,Christopher Lee
775985,Stephen Hernandez,1374928.94,E,Jennifer Liu
230509,Helen Smith,1369766.57,E,Nicole Brown
880753,Paul Phillips,1349409.92,E,Lisa Thompson
220007,Rachel Baker,1347211.37,C,Michael Rodriguez
783478,Richard Garcia,1345160.45,D,David Park
295868,Christopher Torres,1331118.73,E,Sarah Chen
838340,Elizabeth Moore,1306026.97,C,Robert Kim
919402,Marie Davis,1285806.26,D,Rachel Johnson
881821,Justin Nguyen,1254702.01,E,Maria Gonzalez
746510,Dorothy Martin,1238776.67,C,James Wilson
698714,Christopher Thompson,1223170.49,E,Amanda Davis
801740,Kevin Walker,1216844.87,E,Kevin Wu
651894,Timothy Hernandez,1205384.96,D,Emily Zhang
810511,Jason Johnson,1203761.12,D,Mark Williams
978684,Samuel Moore,1200138.87,E,Christopher Lee
537853,Stephen Davis,1197811.76,E,Jennifer Liu
631074,Steven Allen,1189001.1,E,Nicole Brown
502075,Rachel Johnson,1182672.65,C,Lisa Thompson
664723,Dorothy Johnson,1181416.89,E,Michael Rodriguez
877281,Rachel Johnson,1169069.9,B,David Park
587210,Timothy Johnson,1133899.07,D,Sarah Chen
334454,Mary Gomez,1093835.03,E,Robert Kim
232631,Eric Johnson,1076484.46,C,Rachel Johnson
261501,Raymond Perez,1065391.25,D,Maria Gonzalez
951767,Eric Taylor,1038401.52,E,James Wilson
772267,Jerry Jones,1026814.38,C,Amanda Davis
923650,Mark Scott,1023053.98,E,Kevin Wu
540993,Jeffrey Lopez,1022263.14,C,Emily Zhang
162547,Richard Martin,1014151.81,D,Mark Williams
751914,Helen Sanchez,1010852.05,C,Christopher Lee
