ID,First_Name,Last_Name,Legacy_Intent_Binary,Lifetime_Giving,Rating,Primary_Constituent_Type,Prospect_Stage,Geographic_Region,Engagement_Score,Estimated_Age
34017,Donor_34017,Smith,0,40505,O,Alum,Cultivation,Southeast,80,36
45946,Legacy_946,Johnson,1,122280,D,Regent,Stewardship,West Coast,80,72
15490,Donor_15490,Smith,0,2982,L,Parent,Identification,Southeast,100,25
27039,Donor_27039,Smith,0,12660,N,Parent,Identification,Northeast,34,43
1761,Donor_1761,Smith,0,49130,M,Alum,Cultivation,Northeast,78,53
22130,Donor_22130,Smith,0,44787,K,Parent,Cultivation,Northeast,62,78
12719,Donor_12719,Smith,0,41375,P,Parent,Cultivation,Midwest,65,60
4207,Donor_4207,Smith,0,47172,L,Alum,Cultivation,Northeast,39,40
28771,Donor_28771,Smith,0,13048,O,Alum,Cultivation,West Coast,51,55
47456,Legacy_2456,Johnson,1,234053,F,Regent,Solicitation,Southeast,75,76
2137,Donor_2137,Smith,0,9834,O,Alum,Identification,Southeast,41,57
31780,Donor_31780,Smith,0,26281,N,Alum,Identification,Northeast,98,66
38370,Donor_38370,Smith,0,16231,M,Friend,Qualification,Midwest,18,42
10316,Donor_10316,Smith,0,16396,P,Friend,Cultivation,Northeast,40,55
13487,Donor_13487,Smith,0,15511,K,Alum,Cultivation,Northeast,4,52
13648,Donor_13648,Smith,0,11150,K,Friend,Identification,West Coast,22,36
2793,Donor_2793,Smith,0,31113,N,Parent,Identification,Northeast,23,49
23078,Donor_23078,Smith,0,33938,P,Alum,Identification,Southeast,5,43
25718,Donor_25718,Smith,0,13268,L,Friend,Cultivation,Southeast,80,46
30389,Donor_30389,Smith,0,46138,L,Parent,Qualification,Northeast,81,70
30684,Donor_30684,Smith,0,41435,M,Alum,Qualification,Midwest,76,83
18622,Donor_18622,Smith,0,37578,L,Alum,Cultivation,Midwest,97,29
46026,Legacy_1026,Johnson,1,696902,D,Alum,Solicitation,Midwest,77,73
43359,Donor_43359,Smith,0,33538,N,Alum,Qualification,Midwest,64,83
45389,Legacy_389,Johnson,1,949537,F,Trustee,Cultivation,West Coast,77,71
35278,Donor_35278,Smith,0,22159,O,Friend,Identification,West Coast,61,85
19102,Donor_19102,Smith,0,42746,L,Friend,Qualification,Southeast,51,50
29152,Donor_29152,Smith,0,27527,M,Friend,Qualification,Northeast,24,79
3925,Donor_3925,Smith,0,744,K,Friend,Cultivation,Southeast,14,53
1823,Donor_1823,Smith,0,31392,K,Parent,Identification,West Coast,24,77
26281,Donor_26281,Smith,0,24234,K,Parent,Qualification,Northeast,10,62
45176,Legacy_176,Johnson,1,884024,E,Alum,Cultivation,West Coast,93,61
25672,Donor_25672,Smith,0,6971,L,Parent,Qualification,Southeast,65,49
45923,Legacy_923,Johnson,1,13702,A,Trustee,Cultivation,Southeast,96,46
30147,Donor_30147,Smith,0,7590,L,Friend,Cultivation,Northeast,80,39
21512,Donor_21512,Smith,0,18607,L,Alum,Identification,Midwest,23,75
18763,Donor_18763,Smith,0,4061,P,Parent,Qualification,Southeast,34,53
4470,Donor_4470,Smith,0,47705,K,Alum,Qualification,Midwest,3,68
21359,Donor_21359,Smith,0,38215,L,Friend,Qualification,West Coast,64,31
28523,Donor_28523,Smith,0,20017,M,Alum,Cultivation,Northeast,63,71
39194,Donor_39194,Smith,0,49918,P,Friend,Cultivation,Southeast,52,64
10739,Donor_10739,Smith,0,27493,K,Alum,Qualification,West Coast,23,79
13208,Donor_13208,Smith,0,33438,M,Friend,Cultivation,Northeast,75,46
46845,Legacy_1845,Johnson,1,372690,E,Alum,Cultivation,Midwest,100,61
41415,Donor_41415,Smith,0,32586,K,Friend,Qualification,Northeast,50,44
33965,Donor_33965,Smith,0,13632,L,Parent,Qualification,Southeast,3,45
7156,Donor_7156,Smith,0,29698,P,Friend,Qualification,Southeast,7,36
8912,Donor_8912,Smith,0,23958,P,Friend,Cultivation,Southeast,61,48
41353,Donor_41353,Smith,0,48790,P,Parent,Cultivation,Northeast,80,54
41848,Donor_41848,Smith,0,2603,P,Friend,Cultivation,Northeast,87,60
1394,Donor_1394,Smith,0,42416,O,Alum,Qualification,West Coast,56,30
37742,Donor_37742,Smith,0,6881,N,Alum,Cultivation,Northeast,100,67
43470,Donor_43470,Smith,0,9757,L,Friend,Qualification,Midwest,20,82
30314,Donor_30314,Smith,0,17580,N,Parent,Qualification,Northeast,93,85
11337,Donor_11337,Smith,0,35086,P,Alum,Cultivation,Midwest,79,29
34931,Donor_34931,Smith,0,42753,K,Alum,Identification,West Coast,48,72
2164,Donor_2164,Smith,0,18235,O,Friend,Qualification,Northeast,45,43
26304,Donor_26304,Smith,0,2753,O,Alum,Identification,West Coast,32,37
13594,Donor_13594,Smith,0,31880,L,Parent,Cultivation,Midwest,23,68
14932,Donor_14932,Smith,0,11462,L,Friend,Identification,Midwest,64,67
38907,Donor_38907,Smith,0,14403,M,Parent,Qualification,West Coast,98,66
12025,Donor_12025,Smith,0,47979,K,Parent,Identification,Southeast,46,84
26814,Donor_26814,Smith,0,20815,P,Alum,Qualification,West Coast,93,65
42039,Donor_42039,Smith,0,48383,K,Friend,Cultivation,Midwest,92,73
42527,Donor_42527,Smith,0,32246,N,Parent,Qualification,West Coast,15,52
32828,Donor_32828,Smith,0,45790,N,Parent,Qualification,Northeast,4,36
47789,Legacy_2789,Johnson,1,178723,D,Alum,Solicitation,West Coast,78,73
24960,Donor_24960,Smith,0,38431,K,Alum,Qualification,Northeast,25,38
26644,Donor_26644,Smith,0,32095,N,Friend,Identification,West Coast,64,69
15517,Donor_15517,Smith,0,14879,P,Alum,Cultivation,West Coast,95,63
49453,Legacy_4453,Johnson,1,72848,A,Regent,Solicitation,Southeast,64,67
29025,Donor_29025,Smith,0,38571,P,Parent,Identification,Midwest,20,64
43772,Donor_43772,Smith,0,3033,O,Alum,Cultivation,West Coast,57,70
15381,Donor_15381,Smith,0,39950,O,Alum,Qualification,Southeast,39,30
21621,Donor_21621,Smith,0,7822,K,Alum,Identification,Northeast,93,66
16439,Donor_16439,Smith,0,49799,P,Parent,Cultivation,Midwest,37,47
36516,Donor_36516,Smith,0,43710,O,Parent,Identification,Southeast,75,57
23299,Donor_23299,Smith,0,35409,K,Parent,Qualification,Southeast,68,28
1207,Donor_1207,Smith,0,48324,O,Friend,Identification,Southeast,42,47
11404,Donor_11404,Smith,0,41867,M,Alum,Cultivation,Northeast,66,73
4078,Donor_4078,Smith,0,14768,M,Friend,Cultivation,Midwest,65,80
3193,Donor_3193,Smith,0,43495,N,Parent,Cultivation,West Coast,50,59
35308,Donor_35308,Smith,0,14969,K,Alum,Qualification,Northeast,57,84
27660,Donor_27660,Smith,0,37147,M,Parent,Cultivation,Midwest,5,84
33580,Donor_33580,Smith,0,30035,N,Parent,Cultivation,West Coast,60,46
23954,Donor_23954,Smith,0,49436,M,Friend,Qualification,Midwest,79,52
18245,Donor_18245,Smith,0,47128,K,Parent,Qualification,Southeast,7,64
26820,Donor_26820,Smith,0,7099,K,Alum,Identification,Midwest,47,81
36020,Donor_36020,Smith,0,49136,K,Friend,Cultivation,Southeast,74,55
30437,Donor_30437,Smith,0,2700,K,Alum,Qualification,Southeast,35,60
7857,Donor_7857,Smith,0,39231,P,Alum,Cultivation,West Coast,69,52
27863,Donor_27863,Smith,0,4055,P,Alum,Qualification,Midwest,50,30
37597,Donor_37597,Smith,0,46558,P,Alum,Cultivation,Midwest,50,26
13560,Donor_13560,Smith,0,46090,P,Alum,Cultivation,West Coast,19,48
14788,Donor_14788,Smith,0,29644,N,Friend,Identification,West Coast,74,60
1796,Donor_1796,Smith,0,895,P,Friend,Identification,Midwest,47,72
38913,Donor_38913,Smith,0,36672,K,Parent,Qualification,Northeast,75,67
46293,Legacy_1293,Johnson,1,367733,E,Alum,Cultivation,Southeast,64,47
36082,Donor_36082,Smith,0,27059,L,Parent,Cultivation,Northeast,83,41
944,Donor_944,Smith,0,34460,O,Friend,Cultivation,Midwest,7,48
2116,Donor_2116,Smith,0,14191,K,Parent,Cultivation,West Coast,55,75
35078,Donor_35078,Smith,0,396,L,Alum,Identification,Northeast,55,28
36686,Donor_36686,Smith,0,22477,N,Alum,Cultivation,Northeast,75,65
10481,Donor_10481,Smith,0,22299,K,Parent,Identification,Southeast,95,54
42601,Donor_42601,Smith,0,20398,P,Alum,Cultivation,West Coast,43,31
22819,Donor_22819,Smith,0,22029,L,Parent,Qualification,Northeast,22,35
13341,Donor_13341,Smith,0,9209,P,Parent,Cultivation,West Coast,8,72
10707,Donor_10707,Smith,0,1669,O,Parent,Qualification,Southeast,93,56
41689,Donor_41689,Smith,0,26612,K,Friend,Cultivation,Northeast,12,35
31741,Donor_31741,Smith,0,13580,O,Friend,Qualification,Southeast,38,52
1064,Donor_1064,Smith,0,2885,P,Friend,Identification,Midwest,60,81
44653,Donor_44653,Smith,0,45396,M,Alum,Qualification,Midwest,17,45
22538,Donor_22538,Smith,0,35944,P,Parent,Cultivation,Midwest,12,60
24435,Donor_24435,Smith,0,36539,N,Parent,Identification,Midwest,28,47
19362,Donor_19362,Smith,0,34538,O,Alum,Qualification,Midwest,82,39
